stop_id,stop_code,stop_name,stop_desc,wheelchair_boarding,stop_lat,stop_lon
13518,13518,5370 PERSHING EB,MID-BLOCK 5370 PERSHING EB,2,38.647839,-90.277119
15331,15331,47TH STREET @ STATE NB,NEAR SIDE 47TH STREET @ STATE NB,2,38.607249,-90.105926
13209,13209,STATE @ 31ST STREET WB,NEAR SIDE STATE @ 31ST STREET WB,1,38.613256,-90.121711
14394,14394,EAST @ PRYOR WB,NEAR SIDE EAST @ PRYOR WB,2,38.547759,-89.844879
9810,9810,BIG BEND @ BOLY WB,NEAR SIDE BIG BEND @ BOLY WB,2,38.567846,-90.504589
3602,3602,WATERFORD @ ST. ANTHONY NB,NEAR SIDE WATERFORD @ ST. ANTHONY NB,2,38.783804,-90.301543
11628,11628,ILLINOIS @ ROSEWOOD VILLAGE SB,NEAR SIDE ILLINOIS @ ROSEWOOD VILLAGE SB,2,38.544524,-89.984051
14744,14744,THEKLA @ GENEVIEVE NB,NEAR SIDE THEKLA @ GENEVIEVE NB,2,38.697585,-90.247871
13642,13642,LILAC @ WISKOW NB,NEAR SIDE LILAC @ WISKOW NB,2,38.769353,-90.202561
12145,12145,MAIN @ 14TH STREET SB,FAR SIDE MAIN @ 14TH STREET SB,2,38.516566,-89.999960
14603,14603,VETERANS HOME LOOP,NEAR SIDE VETERANS HOME LOOP,1,38.762198,-90.236865
15218,15218,MANCHESTER @ TOWNE CENTER EB,NEAR SIDE MANCHESTER @ TOWNE CENTER EB,1,38.587026,-90.608103
9254,9254,NATURAL BRIDGE @ KINGSHIGHWAY EB,NEAR SIDE NATURAL BRIDGE @ KINGSHIGHWAY EB,1,38.676816,-90.253165
15185,15185,OLIVE @ PARK INDUSTRIAL WB,NEAR SIDE OLIVE @ PARK INDUSTRIAL WB,2,38.661642,-90.300503
15389,15389,ILLINOIS @ BOUL SB,FAR SIDE ILLINOIS @ BOUL SB,2,38.528902,-89.984301
8692,8692,CHIPPEWA @ RIDGEWOOD WB,FAR SIDE CHIPPEWA @ RIDGEWOOD WB,1,38.591237,-90.270392
9020,9020,GRAND @ OSCEOLA NB,MID-BLOCK GRAND @ OSCEOLA NB,1,38.579163,-90.245396
11016,11016,MAIN @ RAILWAY WB,NEAR SIDE MAIN @ RAILWAY WB,,38.490311,-89.797271
12318,12318,ILLINOIS ROUTE 3 @ HANOVER SB,FAR SIDE ILLINOIS ROUTE 3 @ HANOVER SB,2,38.389013,-90.166240
10115,10115,CLAYTON  @ CLAYMONT ESTATES EB,FAR SIDE CLAYTON  @ CLAYMONT ESTATES EB,1,38.612526,-90.551663
